HDG_DEG,VERT
5,28.3
6,24.3
9,25.7
11,28.5
14,26.1
18,28.5
19,26.4
24,24.2
24,26.5
28,21.6
28,24.4
33,20.9
33,22.7
38,19.3
40,21
42,16.5
46,13.7
46,19.3
50,16.6
51,12.2
56,11.4
59,10.7
63,10.2
64,11.3
69,11.9
74,12.8
79,11.3
82,9.2
87,9
92,8.1
97,9.2
101,11
106,12.4
112,13.3
117,14.2
122,14.7
126,15.4
131,16.2
136,15.8
141,15
146,14.2
151,14.2
155,14.6
160,14.2
165,12.7
170,11.8
174,9.7
177,8.3
179,7
183,8.9
188,9.6
192,10.3
197,10.1
203,10.9
208,11.6
213,12.5
218,13.1
223,13.9
229,14.5
234,15
240,16
245,16.1
251,16.2
256,16.9
261,16.4
266,16.7
271,17
276,16.4
280,13.9
283,15.8
288,17.7
294,19
299,19.8
305,19.7
310,20.4
316,21.2
322,21
327,21.4
332,21.6
337,21.2
342,21.4
346,21.5
351,21
355,22.7
359,25.9